""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Col3a1"	10334.8394668776	0.0799619159514851	0.227823664082965	0.350981607961349	0.725602146476182	1
"Col5a2"	5849.3501440426	0.156698506090651	0.222248604174833	0.705059573590766	0.480773163216025	1
"Wdr75"	227.150224953936	-0.346053121137886	0.33363059800154	-1.03723436402643	0.299626646550235	1
"Dnah7b"	1.42390693109568	-0.844289674353629	2.24210295859843	-0.376561509414985	0.706499496611731	1
"Slc39a10"	54.008830767797	0.111966984433039	0.451168893911214	0.248170886654861	0.804002190934193	1
"Tmeff2"	16.5415637382681	0.0390399174595534	0.828880840038232	0.0470995534867866	0.962433883210254	1
"Nabp1"	226.658300170142	0.135160737995142	0.300441476084698	0.449873764955938	0.652801465434926	1
"Myo1b"	157.235345289276	-0.115960527387824	0.287848598929363	-0.402852498914821	0.687056737428044	1
"Stat1"	69.0217521725343	0.256411464488667	0.374107778619595	0.685394635296783	0.493094928416551	1
"Gls"	602.062278059932	-0.27510516712891	0.241333553083204	-1.13993749983892	0.254312340594093	1
"Nab1"	156.014731832321	0.213670901038795	0.286683433961007	0.745320014088631	0.456078284804578	1
"Nemp2"	7.43870969549103	1.55525210468783	1.08436990998559	1.4342449844523	0.15150236396246	1
"Mfsd6"	13.9854149894219	-0.130658483991819	0.707470544528065	-0.184683991443033	0.853476903153728	1
"Inpp1"	21.9404430952401	0.409275784587342	0.598970286755884	0.683298977657211	0.494417940062154	1
"Hibch"	52.2959010137226	0.427351444603008	0.405844380725024	1.05299337603138	0.29234402796174	1
"Pms1"	16.6459359535637	0.288758804969669	0.695340721833318	0.415276706660204	0.677939351117295	1
"Ormdl1"	28.3557521302747	-0.147740636236206	0.64155500619626	-0.230285220767197	0.817870144146114	1
"Osgepl1"	17.0486173308548	-0.00521014783119904	0.606594655708944	-0.0085891752955024	0.993146913904978	1
"Gm28551"	1.25219396232978	-1.55107677109756	2.4931327919355	-0.622139653417102	0.533850042792088	1
"Asnsd1"	141.440966076761	0.155843565385208	0.27930183571441	0.557975442540809	0.576861153458634	1
"Stk17b"	201.016329848474	-0.287496395608036	0.253554142719484	-1.13386589753378	0.25685080390413	1
"Hecw2"	7.27105909991114	0.502587557254528	1.11338065713722	0.451406761948608	0.651696410681938	1
"Gtf3c3"	44.7783036859011	0.524816009779476	0.448298465653099	1.17068437656797	0.241725667430382	1
"Ankrd44"	71.8681223473047	-0.436860541158941	0.366740044549391	-1.19119945490465	0.233575293498323	1
"Sf3b1"	481.730179219818	-0.130189770735144	0.259265262909013	-0.502148916034436	0.615562773563521	1
"Coq10b"	199.303456571317	0.205249426753017	0.291934725231724	0.703066161759619	0.482014518758234	1
"Hspd1"	708.157929081254	0.0302409388247366	0.254786250177934	0.118691408204396	0.905519843688638	1
"Hspe1"	1490.21950268546	-0.249685762675049	0.305002569944005	-0.818634946980574	0.412994722100964	1
"Mob4"	1622.43370910439	-0.289315553509432	0.238700190066902	-1.2120457609537	0.225494864190198	1
"Rftn2"	49.6729313925261	-0.138131204029952	0.407585632245931	-0.338901062995777	0.734684263629929	1
"Mars2"	27.6459149459919	0.109746149823398	0.52742781395382	0.208078047687122	0.83516802742851	1
"Plcl1"	20.9203352197414	-0.74026156435499	0.644929441318497	-1.14781791143167	0.251043741511989	1
"Satb2"	12.7203314894472	0.665603077911575	0.744038521371955	0.894581475007839	0.371010858263634	1
"1700066M21Rik"	21.9048899269848	-0.469669863765701	0.6014082506502	-0.780950150347832	0.434831814393145	1
"Tyw5"	37.2100012755739	0.035174404481347	0.567175909674087	0.0620167462711155	0.950549496075041	1
"Maip1"	97.5790752565389	-0.0280898859950308	0.310716610768759	-0.0904035543047803	0.927966532334069	1
"Spats2l"	60.1608870779648	0.362208221515613	0.3793968481039	0.954694861925738	0.339732028974429	1
"Kctd18"	26.1081090037016	0.143592253093603	0.554086880340267	0.259151151540391	0.795518619245269	1
"Sgol2a"	344.044713599561	-0.366391500174752	0.283886491094243	-1.29062675283523	0.196833134659614	1
"Aox1"	5.00672710343418	-0.239790130015461	1.21183719390227	-0.197873221932813	0.843144255719085	1
"Bzw1"	1075.82814848235	-0.364382532746371	0.204459403882041	-1.78217546284442	0.074720622840612	1
"Clk1"	157.368987449434	0.0740163927056755	0.299758972157879	0.24691969075305	0.804970377058068	1
"Ppil3"	37.7185049940042	0.190512024466093	0.494854905707756	0.384985623601361	0.700248066882135	1
"Nif3l1"	74.8671405984419	-0.231755378602691	0.35661047374692	-0.649883824688682	0.515767267273885	1
"Orc2"	91.2711370055441	-0.223050799302104	0.316057468771079	-0.705728613753027	0.480356923091606	1
"Fam126b"	35.5456607091358	-0.382727314493181	0.453931047157267	-0.843139760741202	0.399150283856987	1
"Cflar"	114.958535348071	0.00952227630467636	0.347077207132504	0.0274356140622079	0.978112293018028	1
"Trak2"	111.766271141664	0.0560740090370615	0.411012723671706	0.136428888468792	0.891482237484917	1
"Stradb"	31.9303757591175	-0.157434899904591	0.523771246405919	-0.30057950104153	0.763735164795497	1
"Tmem237"	113.836782502567	-0.141250933728126	0.311822827864166	-0.452984583250771	0.650559842819344	1
"Mpp4"	2.10402105829908	-4.91541254958183	4.35084993114614	-1.12975915680157	0.258577722654221	1
"Als2"	49.9463685025399	-0.29161839419303	0.50056412076479	-0.582579498002133	0.560176410340566	1
"Cdk15"	4.61090903265785	1.32148561345341	1.26231560656943	1.04687417835606	0.295157612559456	1
"Fzd7"	100.308991396774	0.264072085859812	0.360001882472853	0.733529736138879	0.463235398169936	1
"Sumo1"	198.708157219197	0.158027578330459	0.241360485262432	0.654736744329278	0.512637263402058	1
"Nop58"	266.43836414775	0.350020689585999	0.278988380678198	1.25460669270572	0.209621572691	1
"Bmpr2"	332.545379216117	-0.0222699538295201	0.245421379852159	-0.0907417024667347	0.927697833523086	1
"Fam117b"	99.190260684637	-0.340135127575219	0.355016046119804	-0.958083814218462	0.338020496524116	1
"Wdr12"	78.3251250496706	-0.302600042496367	0.342619660652664	-0.883195208120682	0.37713081019355	1
"Carf"	89.9800496411928	-0.244247154867842	0.358327532025072	-0.681631002472767	0.495472306211945	1
"Nbeal1"	64.6164961829044	-0.00347336099712381	0.38525277420876	-0.0090157974962217	0.992806531827607	1
"Abi2"	48.7806606357275	-0.686275268651948	0.455473274590194	-1.50673004748613	0.131879866389936	1
"Raph1"	143.989628799672	-0.0951907164661011	0.345754168512484	-0.275313286534286	0.783075557580155	1
"Pard3b"	3.92025869196484	1.15577951739933	1.41035281269532	0.819496729467655	0.412503067166779	1
"Ino80d"	83.6529371286581	-0.0670513970261211	0.369431765597697	-0.181498732026034	0.855976128320955	1
"Ndufs1"	196.058888638969	-0.200849954899953	0.254858220214957	-0.788085056587733	0.430646955414085	1
"Eef1b2"	5849.22391325059	-0.26847820336977	0.231846389617159	-1.15800036314173	0.246863888220564	1
"Adam23"	123.915237345621	-0.312727385339505	0.440918411698391	-0.709263612138351	0.47816090479595	1
"Fastkd2"	40.4845483116924	-0.220367990210214	0.482200297768232	-0.457005089441345	0.647667387376838	1
"Klf7"	297.397234365828	-0.0716634122640945	0.232037074523573	-0.308844663772961	0.757439692076792	1
"Creb1"	183.415865860726	0.130117468092244	0.275867474923279	0.471666578774576	0.637164796033036	1
"Mettl21a"	127.978483289949	-0.0577276443138414	0.284720769036076	-0.202751785580233	0.839329044655458	1
"Ccnyl1"	97.0875699780914	0.119142912090862	0.322681324543557	0.369227789241888	0.711957944186786	1
"Fzd5"	246.799020047203	0.0808736761175477	0.293609618919539	0.275446275960429	0.782973395430137	1
"Plekhm3"	49.2074114976308	0.307112536390663	0.411570260320794	0.746197104113616	0.455548357223856	1
"Idh1"	311.673052799227	0.00420445822256388	0.253926331911295	0.0165577874138419	0.986789400701228	1
"Pikfyve"	74.6609616503314	-0.363189642369367	0.333015709934527	-1.09060813509601	0.275445348404589	1
"Map2"	25.8517117035958	0.252467379293906	0.531104896526645	0.475362552567316	0.634528580846911	1
"Rpe"	203.136565199727	-0.168115477048601	0.254265109222885	-0.661181856851756	0.508495695069744	1
"Kansl1l"	12.0546493413336	0.16410917878734	0.745451868259746	0.220147249976652	0.825756477172692	1
"Acadl"	303.527886457976	-0.491177050850952	0.298150820165943	-1.64741136911035	0.0994735200801056	1
"Lancl1"	89.8981464915198	0.109765791008196	0.320744027976013	0.342222399902034	0.732183529154131	1
"Ikzf2"	33.8936978101218	0.070922968722665	0.513364201195407	0.13815331991891	0.890119246546861	1
"Bard1"	30.8516193590479	0.0748478496375186	0.545007857050524	0.137333524038682	0.890767173120376	1
"Atic"	739.636090675452	-0.32435873119922	0.212378198083141	-1.52726943785558	0.12669402587005	1
"Fn1"	11476.6322456629	0.151554457979056	0.229120017700873	0.661463190775927	0.50831531299995	1
"Mreg"	6.02067366479832	-1.77093305785056	1.13225138989339	-1.5640811516401	0.11779851175848	1
"Pecr"	241.943677567577	-0.593582676328059	0.353280152928952	-1.68020385919453	0.0929176587488958	1
"Tmem169"	1.73947954802827	0.986701174868626	2.04846994090497	0.48167715579596	0.630035306609644	1
"Xrcc5"	100.86409961526	-0.0111918140070454	0.344333352122808	-0.0325028462623445	0.974071046241264	1
"Smarcal1"	14.2865969679972	-0.651754482797852	0.783197421051066	-0.832171385246884	0.405312212990359	1
"Rpl37a"	905.760495714176	-0.289245979775564	0.197326229530517	-1.46582631444256	0.142695610239634	1
"Igfbp2"	983.24041922053	0.375065168818022	0.277272170700913	1.35269676675412	0.176152523795596	1
"Tns1"	68.7233137454403	0.453970157834244	0.485725656407419	0.934622562851531	0.349982846983289	1
"Rufy4"	1.65191335719552	0	2.78663579163112	0	1	1
"Arpc2"	1368.92026688651	0.306168196721524	0.232220544116286	1.31843716879851	0.18735734518833	1
"Gpbar1"	0.927709091653746	2.07751453897916	3.35610735324206	0.619025055015671	0.535899853373295	1
"Aamp"	2533.35144808113	-0.343640768720247	0.21542038193099	-1.59521009869128	0.11066526123486	1
"Pnkd"	48.93041028612	0.220392667605427	0.439698964793952	0.501235357032749	0.616205493507684	1
"Tmbim1"	266.13785044952	-0.0829458144053001	0.268933685026887	-0.308424786567765	0.757759123701541	1
"Catip"	6.37355527948014	-1.06523085957496	1.07015831828814	-0.995395579673612	0.319543907634988	1
"Ctdsp1"	109.448960691854	0.516248236911664	0.343202686526128	1.50420802977124	0.132527810867883	1
"Usp37"	43.3972374836627	-0.32549337282724	0.434892149756814	-0.748446190645777	0.454191070189087	1
"Cnot9"	123.905686291	-0.1387032281771	0.287899071303871	-0.481777268502203	0.629964179062264	1
