"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Cacna1a"	135.58503374804	-1.97186064164562	0.431952836231212	-4.56499061066505	4.99516696828103e-06	0.000447514772046371
"Ggt5"	94.5654583052934	-2.17508933052588	0.479475178135422	-4.53639610497533	5.72236592647802e-06	0.00050143797771802
"Serpinb1a"	50.869234041398	-2.57896161719006	0.569516434238443	-4.52833572860571	5.94500722656781e-06	0.000517172548948888
"Ahrr"	139.245737536203	-1.38625779856895	0.308622969077997	-4.49175187028484	7.06396952296275e-06	0.000610093195130703
"Cdo1"	117.692923842343	-1.92333825884096	0.431213338162137	-4.46029398589193	8.18473022284086e-06	0.000688863054893244
"Slc30a3"	27.1941538450278	-3.94404882929916	0.8849814117343	-4.45664595550091	8.32519262272319e-06	0.000689268534039944
"Gm765"	16.6589936874053	-4.63634963157923	1.04125886181785	-4.45263882170953	8.48213655589582e-06	0.000696829348255457
"Otor"	43.2240402040778	-2.73957252457939	0.61585001905272	-4.44844108114717	8.64957679453071e-06	0.000696900465894907
"Plce1"	77.2077758736711	-1.96658862842452	0.441980768168509	-4.44948914083687	8.60747815916147e-06	0.000696900465894907
"Gatb"	76.0928930656313	-1.99295177185254	0.448320590792257	-4.44537193424612	8.7739936257959e-06	0.0006975615462098
"Snai2"	504.47278505376	-1.29111424897583	0.290604285289503	-4.44286032358265	8.87707969843211e-06	0.000701114090655773
"Vim"	10603.190311994	-1.0894033098205	0.245634188886629	-4.43506384334513	9.20450068664081e-06	0.000722222423157666
"Slc6a2"	13.7832594077046	-7.09494585415249	1.61537762768398	-4.39212833739982	1.1224640537826e-05	0.000869366513913555
"Snapc5"	20.2260323478623	-4.20861988368221	0.958651572745261	-4.39014549533374	1.13274843749783e-05	0.000871708012318042
"Adamts4"	88.7405838806045	-2.0622984798668	0.470852681990844	-4.3799229753711	1.18721265813863e-05	0.000907801780952502
"Maf"	147.479914750916	-1.4595104591739	0.333941452942391	-4.37055791161598	1.23929479802656e-05	0.000941628737361321
