""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Zfp775"	40.2384238504969	-1.05758778058591	0.59937491900261	-1.7644845439075	0.077650435310069	0.368882697552128
"Zfp583"	5.79047405044012	2.62556408761569	1.48865587420314	1.76371459187714	0.0777800431494942	0.368882697552128
"Srgap1"	64.8044514236815	-0.805817558499024	0.456731363854352	-1.76431404162556	0.0776791211867004	0.368882697552128
"Acpp"	16.2662966497005	1.2270799076423	0.695694633698383	1.76381971083925	0.0777623378491797	0.368882697552128
"Gm44503"	81.4845249157992	0.731149266037674	0.414637718039177	1.76334480494269	0.0778423528517248	0.368929114088021
"Dctn3"	291.71510962154	0.454977445940098	0.258090019011604	1.76286339038799	0.077923532891154	0.369044796362933
"Tmem2"	767.18312976613	-0.500197179977875	0.283745810897452	-1.76283547022532	0.0779282431303653	0.369044796362933
"Dck"	84.3423163717602	0.713253724984003	0.404925198634088	1.7614456383302	0.0781630063030823	0.369676862930948
"Pdap1"	230.330960524911	0.629232424577961	0.357213907572786	1.76150035381741	0.0781537531729304	0.369676862930948
"Taf10"	130.778957879936	0.539591914128759	0.306357194254949	1.76131628128084	0.0781848858793566	0.369676862930948
"Vps8"	42.3600501192458	-1.00729687254743	0.571883160806905	-1.76136830314459	0.0781760862517831	0.369676862930948
"Rnpep"	152.405336898264	0.646524506980653	0.367111728928139	1.76111100799836	0.078219616233949	0.369695469641164
"Ppp4r2"	325.722346484225	0.486955682128629	0.27657790543949	1.76064563564773	0.0782983994731196	0.36992219034821
"Pla2g4c"	4.41878294250104	-3.49097249774369	1.98318550907211	-1.76028540031893	0.0783594283258377	0.370064884756759
"Elovl7"	10.5891032945166	1.67715772252914	0.952913076238818	1.76003222576076	0.0784023427644383	0.370121952374
"Map2"	25.8517117035958	-1.07690988432811	0.612093466698277	-1.75938797409017	0.0785116331369694	0.370492199610581
"Mtch2"	744.722066415004	-0.410768856679653	0.233738435047377	-1.75738686962798	0.0788518898503054	0.370496825093055
"Zdhhc4"	142.730057712439	0.574929096503992	0.327117864437495	1.75755945794226	0.0788224966971447	0.370496825093055
"Ptprz1"	3.81670016706908	3.23423622589624	1.84043923019535	1.75731758638559	0.0788636918417708	0.370496825093055
"Necap1"	105.920514075531	-0.683423529207741	0.388818097877626	-1.7576947496483	0.0787994616841219	0.370496825093055
"Rplp1"	17313.8754814367	0.366965818783347	0.208744620262785	1.75796539485128	0.078753397574147	0.370496825093055
"Camp"	26.8509484602613	1.32859424539845	0.755499597936935	1.75856380205427	0.0786516257852247	0.370496825093055
"Galnt10"	310.973471179828	-0.47966259422235	0.272969133602715	-1.75720451573276	0.0788829558465513	0.370496825093055
"Smg8"	43.2141155522614	0.861210594160581	0.490102210983354	1.75720609876994	0.0788826861158804	0.370496825093055
"Timp2"	6522.17716666497	-0.419045263050601	0.238377015072775	-1.75790968320779	0.0787628779656805	0.370496825093055
"Ano6"	126.445546750211	0.735925659960518	0.4187834643897	1.75729397776723	0.0788677137588393	0.370496825093055
"Pdxdc1"	76.244118934813	-0.760520725573409	0.432509182154831	-1.75839209189588	0.0786808177716658	0.370496825093055
"Apba1"	16.5582011024341	-1.42257645753666	0.808670387573255	-1.7591548786715	0.0785512058006266	0.370496825093055
"Mios"	43.1503993405597	-0.879797576928747	0.50078806606957	-1.75682616367804	0.0789474440510894	0.370587182168523
"Hmg20b"	74.7931113363753	0.860552633352403	0.489880180563734	1.75665941896672	0.0789758784602052	0.370587182168523
"Arid4b"	54.4591958026314	-0.807475330066243	0.459694304991839	-1.75654847427483	0.078994802096564	0.370587182168523
"Cav2"	221.262023994848	-0.547595083595775	0.31185802139843	-1.75591149183932	0.079103522435497	0.370662680264692
"Nin"	35.2477256811374	0.978299131109053	0.557061933922478	1.75617659641629	0.0790582595365458	0.370662680264692
"Zfp654"	23.0490721816013	1.1072207475312	0.630541069296698	1.75598513950279	0.0790909460131109	0.370662680264692
"Dab2ip"	111.460397430501	-0.608295311149819	0.346679260751862	-1.75463426866256	0.0793218859024332	0.370785136925495
"Cyp7b1"	159.017411314993	0.667603669302705	0.380371644671476	1.75513521750369	0.0792361816520278	0.370785136925495
"Ccng2"	243.443120162025	0.486683180301019	0.277420815654107	1.75431385403979	0.0793767431818845	0.370785136925495
"Wwc2"	358.669520395582	0.50246591174106	0.286357522039993	1.75468033164111	0.0793140021255728	0.370785136925495
"Papd5"	246.89453479139	0.573515109963461	0.326769786334143	1.75510446176014	0.0792414412920131	0.370785136925495
"Gfpt2"	102.102001685721	0.620041178088132	0.353435205898244	1.75432771761466	0.0793743690001981	0.370785136925495
"Lrrc58"	402.387454300387	0.401119840596005	0.228513919340162	1.75534095145822	0.0792010057187292	0.370785136925495
