""	"WT1"	"WT2"	"C1"	"C2"	"C3"	"Tg197-1"	"Tg197-2"	"Tg197-3"	"Tg197-C1"	"Tg197-C3"
"Mroh3"	0	0	0	0	0	0	0	0	0	0
"5730559C18Rik"	2.17402588507121	2.10953478622339	2.1949028067787	2.23098780492726	2.10195583582854	2.5684583142127	2.78831099833283	2.38969608171017	2.31199517629538	2.20998793166251
"Camsap2"	7.07932810227564	7.28654608867328	7.21983249971839	7.38973056204099	7.15355011650581	7.17286854787786	7.06123201998562	7.2506369534082	7.2315046745899	7.13655354923536
"Ddx59"	5.07179545309586	5.00880659693859	5.25267439826452	5.33952581318837	5.05548815079605	5.26454262943071	5.61550049248225	5.27130108235662	5.0301438981913	4.93492080520342
"Kif14"	6.09825799871428	6.59427225834947	6.47149370910054	6.04703809570063	6.30232554558848	6.10632354545975	5.94685603209983	5.68154732649276	6.37090450362939	5.82519856386499
"Zfp281"	7.54450053927272	7.67924959312007	7.60004417824096	7.54722398923228	7.62402372449325	7.77293916482815	7.40520932381758	7.41751082181569	7.75759978413948	7.74564421570005
"Nr5a2"	0.791997824954188	0.808149440282063	0.919884289936348	0.808919686275527	0.834081472224719	0.834062382718691	0.941247170309043	0.796482931771512	0.900902152283363	0.772734104859445
"Ptprc"	1.30467925852907	1.18644001982836	1.18755738251079	1.18690655872121	1.18223687168622	1.45093926424939	1.7368895001104	1.28007675719987	1.22245565893036	1.19149310015228
"Atp6v1g3"	0	0	0	0	0	0	0	0	0	0
"Nek7"	7.19769937277922	7.16605201921134	7.46496749932792	7.62331238579658	7.43062320320837	7.38131201215041	7.20727424734613	7.17079529197208	7.35150264026696	7.48158239958098
"Lhx9"	1.43155487319086	1.28188924863028	1.43686936416458	1.39769941221341	1.3748907843039	1.43690604850741	1.23474177500229	1.29955161906529	1.2378502190059	1.33663190070121
"2310009B15Rik"	5.90582268001607	6.15165125267022	6.0663601264717	6.15450657307176	6.39875720194623	5.95371996077716	5.80597481195549	5.91884601580462	6.45794880920341	6.44084288292452
"Dennd1b"	4.05007225533266	4.11955336564454	3.97042666679961	4.03592997958268	3.87396673657716	4.00881356806941	4.155441486493	4.14247573855527	3.93554304122331	4.05043285509821
"Crb1"	0	0	0	0	0	0	0	0	0	0
"Zbtb41"	7.23180802200573	7.1151563039652	6.97203236922394	7.04812000417611	7.17369848375663	7.12869725178729	7.32741729407195	7.3146282252622	7.46025030983141	7.3445698190092
"Aspm"	4.85757243765405	4.90120893278461	5.12673285490085	4.74558982506578	5.22416757383903	4.79341637234455	4.69509528362583	4.23482345756207	4.84824319150732	4.5688679592573
"F13b"	0	0	0	0	0	0	0	0	0	0
"Cfhr1"	0	0	0	0	0	0	0	0	0	0
"Gm4788"	0	0	0	0	0	0	0	0	0	0
"Cfhr2"	0	0	0	0	0	0	0	0	0	0
"Cfh"	2.27169491853002	2.34361038391974	2.28817239774244	2.10282459635765	2.09036970247929	2.36223906090983	2.43468859219104	2.30905335417444	2.19551657509397	2.06974539469172
"Kcnt2"	2.88426758419593	2.64349787277273	2.57814583194235	2.71359326889988	2.85974528506152	2.55084725087015	2.80826884599002	2.5659421979918	2.76903988117148	2.67748642149298
"Cdc73"	8.75323594489756	8.88003804674156	8.62570375091528	8.63952864622535	8.53016201333252	8.7074592581273	8.68043935144984	8.85630702683614	8.90829645697833	8.86431570575422
"B3galt2"	-0.825498193367507	-0.846624934974848	-0.699487761138378	-0.846537623970056	-0.847405935495901	-0.847407282358724	-0.786855923447424	-0.847941034387012	-0.847217968759652	-0.845317009049536
"Glrx2"	7.82155850783966	7.63332992174724	7.67800960643299	7.58139668206232	7.52220273872161	7.55820609093088	8.01664669738197	8.07036927925979	7.62496997573213	7.34928618476777
"Trove2"	7.16974468368072	7.42305014759178	7.28856671449588	7.41007976955665	7.19900042498501	7.38155403951834	7.13136305746824	7.17209258353742	7.40871197401822	7.27193315799385
"Uchl5"	7.08871242844875	7.12463468672153	7.08467295107366	6.78755286633368	7.13390853704591	6.79340063488559	6.9375516316709	7.128093591	7.15435360307705	6.73587412441907
"Rgs2"	6.58848400115618	5.82548258998822	6.41376437995886	6.33679184662758	6.32724297176367	6.22894364040545	6.17789763615188	6.21791387715996	7.91004106075993	6.75262357820427
"Rgs13"	0	0	0	0	0	0	0	0	0	0
"Rgs1"	-0.246520826630976	-0.19111754445557	-0.267190019993456	-0.227911663616779	-0.0507756907391836	-0.268775375063434	-0.269438482064462	-0.269631003363442	-0.268472291626665	-0.266005969070147
"Rgs21"	0	0	0	0	0	0	0	0	0	0
"Rgs18"	-1.59027404650209	-1.52704858930203	-1.60399408628201	-1.60429891691629	-1.60659221816617	-1.6065959647791	-1.60777932514863	-1.60813552100053	-1.60607557322536	-1.60221406438984
"Brinp3"	2.21164852359347	2.0474657652458	2.05002138517358	2.04853394491243	2.03776777561136	2.19806465600797	2.28295703586194	2.17909454172352	2.46975383263029	3.14992249895477
"Pla2g4a"	6.72349530766463	6.55089721237994	6.39016508158147	6.63704270229524	6.41004192999507	6.59642940936158	6.4026406482319	6.58511827890996	6.90122594462454	7.14587758773883
"Ptgs2"	7.83632610035902	7.53099313726433	7.28731235105848	7.1348439647628	7.5807202967927	8.05478593284472	8.21838890328052	8.14724301557387	8.63607246597339	8.40225928953854
"Pdc"	-1.28152119446553	-1.30105888652275	-1.30033832929781	-1.3007564067406	-1.30388584997841	-1.26884128603694	-1.30422060220461	-1.30431749127277	-1.30319310385333	-1.19164514756739
"BC003331"	6.78257194066889	6.34043348582019	6.70166290631775	6.72374378291287	6.40644392803696	6.38275115604742	6.67031430334272	6.58521878825766	6.29587098292559	5.96171271008391
"Tpr"	8.41562114603902	8.3589601726281	8.34743599402691	8.23525122789085	8.28212861568763	8.29401340375326	8.50666778593992	8.67855760434633	8.38573272099292	7.86858083918446
"Prg4"	10.4428605399613	10.5587354246294	10.1528258492142	10.0683509949763	10.3068538338887	10.4079568519918	10.7801993993154	10.6744949420164	9.62355810952114	9.86580917213453
