""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Adgrb1"	0.265447635846225	2.62425828522381	4.46460924780982	0.58779125777047	0.556672412677727	NA
"Mroh4"	0	NA	NA	NA	NA	NA
"Arc"	0.740296770869298	-0.00218078980879623	3.15011476867466	-0.000692289001811113	0.999447633337963	NA
"Psca"	0	NA	NA	NA	NA	NA
"Them6"	9.34314000273225	0.201773982795315	0.957562169117914	0.210716326628886	0.833108633834501	NA
"Slurp1"	0.297265115728992	0	4.56215292161587	0	1	NA
"Lypd2"	0	NA	NA	NA	NA	NA
"Slurp2"	0	NA	NA	NA	NA	NA
"Ly6d"	0.522667792940511	-2.11897789184778	3.92830369647873	-0.539412951637928	0.589601946270747	NA
"D730001G18Rik"	0.0810276762267669	0	4.56215292161587	0	1	NA
"Ly6k"	3.63623797140427	-0.261917677512861	1.52419279169526	-0.171840254684282	0.863563117556386	NA
"Gml"	0.11373509951777	1.9765627037692	4.53550517740468	0.435797695395915	0.662983516084717	NA
"Gml2"	0	NA	NA	NA	NA	NA
"Cyp11b1"	0	NA	NA	NA	NA	NA
"Cyp11b2"	0.0718991430970927	-0.586496486132	4.56215292161587	-0.128556954624017	0.89770822881466	NA
"2010109I03Rik"	0.0967764261984154	0	4.56215292161587	0	1	NA
"Ly6i"	1.67157558735867	-3.69395127748422	2.26298984292629	-1.63233223915293	0.102609515209748	NA
"Ly6c2"	2.92884770937648	-0.161597257404546	1.4495808877637	-0.111478606519051	0.911236829371695	NA
"Ly6g"	0.169047658294136	-0.586491229553945	4.56215292161375	-0.128555802409729	0.897709140583155	NA
"BC025446"	0.270075886916421	-0.5864964860305	4.56215292161587	-0.128556954601769	0.897708228832265	NA
"Ly6f"	1.5546130677563	0.717776245569543	1.81485257620069	0.395501130495224	0.692473087472766	NA
"Ly6l"	0	NA	NA	NA	NA	NA
"Ly6h"	0	NA	NA	NA	NA	NA
"Gpihbp1"	0	NA	NA	NA	NA	NA
"Rhpn1"	1.44932849700084	0.399849519018194	2.22331323800547	0.179843987875006	0.857275049259079	NA
"Mafa"	2.42760779795614	0.731533833699592	1.51307878359466	0.483473723662734	0.628759412595125	NA
"Zc3h3"	5.68436082393224	-2.45981243477956	1.24050877194827	-1.98290611916942	0.0473779170326417	NA
"Naprt"	11.580944137005	-1.20148379849214	0.896514070530773	-1.34017282939108	0.180189162852655	NA
